Stations ID; Zeit; QUALITAETS_NIVEAU; STRUKTUR_VERSION; Lufttemperatur [Grad C]; Relative Luftfeuchte [%]; eor                                                                                                                                                                                                                                                                 
    13667;  2020030907;   2;0;    6.2;   83;eor                                                                                                                                                         
    13667;  2020030908;   2;0;    6.9;   79;eor                                                                                                                                                         
    13667;  2020030909;   2;0;    8.2;   67;eor                                                                                                                                                         
    13667;  2020030910;   2;0;    8.7;   71;eor                                                                                                                                                         
    13667;  2020030911;   2;0;    8.4;   71;eor                                                                                                                                                         
    13667;  2020030912;   2;0;    9.4;   59;eor                                                                                                                                                         
    13667;  2020030913;   2;0;    7.0;   78;eor                                                                                                                                                         
    13667;  2020030914;   2;0;    8.0;   70;eor                                                                                                                                                         
    13667;  2020030915;   2;0;    8.9;   69;eor                                                                                                                                                         
    13667;  2020030916;   2;0;    9.5;   60;eor                                                                                                                                                         
    13667;  2020030917;   2;0;    9.2;   61;eor                                                                                                                                                         
    13667;  2020030918;   2;0;    8.0;   65;eor                                                                                                                                                         
    13667;  2020030919;   2;0;    7.5;   73;eor                                                                                                                                                         
    13667;  2020030920;   2;0;    7.0;   73;eor                                                                                                                                                         
    13667;  2020030921;   2;0;    6.9;   73;eor                                                                                                                                                         
    13667;  2020030922;   2;0;    6.9;   72;eor                                                                                                                                                         
    13667;  2020030923;   2;0;    6.6;   73;eor                                                                                                                                                         
    13667;  2020031000;   2;0;    6.2;   71;eor                                                                                                                                                         
    13667;  2020031001;   2;0;    6.4;   72;eor                                                                                                                                                         
    13667;  2020031002;   2;0;    6.4;   71;eor                                                                                                                                                         
    13667;  2020031003;   2;0;    7.6;   63;eor                                                                                                                                                         
    13667;  2020031004;   2;0;    7.6;   63;eor                                                                                                                                                         
    13667;  2020031005;   2;0;    6.5;   77;eor                                                                                                                                                         
    13667;  2020031006;   2;0;    6.2;   78;eor                                                                                                                                                         
